fold,class,count
0,0,50
0,1,50
0,10,50
0,11,50
0,12,50
0,13,50
0,14,50
0,15,50
0,16,50
0,17,50
0,18,50
0,19,50
0,2,50
0,20,50
0,21,50
0,22,50
0,23,50
0,24,50
0,25,50
0,26,50
0,27,50
0,28,50
0,29,50
0,3,50
0,30,50
0,31,50
0,32,50
0,33,50
0,34,50
0,35,50
0,36,50
0,37,50
0,38,50
0,39,50
0,4,50
0,40,50
0,41,50
0,42,50
0,43,50
0,44,50
0,45,50
0,46,50
0,47,50
0,48,50
0,49,50
0,5,50
0,50,50
0,51,50
0,52,50
0,53,50
0,54,50
0,55,50
0,56,50
0,57,50
0,58,50
0,59,50
0,6,50
0,60,50
0,61,50
0,62,50
0,63,50
0,64,50
0,65,50
0,66,50
0,67,50
0,68,50
0,69,50
0,7,50
0,70,50
0,71,50
0,72,50
0,73,50
0,74,50
0,75,50
0,76,50
0,77,50
0,78,50
0,79,50
0,8,50
0,80,50
0,81,50
0,82,50
0,83,50
0,84,50
0,85,50
0,86,50
0,87,50
0,88,50
0,89,50
0,9,50
0,90,50
0,91,50
0,92,50
0,93,50
0,94,50
0,95,50
0,96,50
0,97,50
0,98,50
0,99,50
1,0,50
1,1,50
1,10,50
1,11,50
1,12,50
1,13,50
1,14,50
1,15,50
1,16,50
1,17,50
1,18,50
1,19,50
1,2,50
1,20,50
1,21,50
1,22,50
1,23,50
1,24,50
1,25,50
1,26,50
1,27,50
1,28,50
1,29,50
1,3,50
1,30,50
1,31,50
1,32,50
1,33,50
1,34,50
1,35,50
1,36,50
1,37,50
1,38,50
1,39,50
1,4,50
1,40,50
1,41,50
1,42,50
1,43,50
1,44,50
1,45,50
1,46,50
1,47,50
1,48,50
1,49,50
1,5,50
1,50,50
1,51,50
1,52,50
1,53,50
1,54,50
1,55,50
1,56,50
1,57,50
1,58,50
1,59,50
1,6,50
1,60,50
1,61,50
1,62,50
1,63,50
1,64,50
1,65,50
1,66,50
1,67,50
1,68,50
1,69,50
1,7,50
1,70,50
1,71,50
1,72,50
1,73,50
1,74,50
1,75,50
1,76,50
1,77,50
1,78,50
1,79,50
1,8,50
1,80,50
1,81,50
1,82,50
1,83,50
1,84,50
1,85,50
1,86,50
1,87,50
1,88,50
1,89,50
1,9,50
1,90,50
1,91,50
1,92,50
1,93,50
1,94,50
1,95,50
1,96,50
1,97,50
1,98,50
1,99,50
2,0,50
2,1,50
2,10,50
2,11,50
2,12,50
2,13,50
2,14,50
2,15,50
2,16,50
2,17,50
2,18,50
2,19,50
2,2,50
2,20,50
2,21,50
2,22,50
2,23,50
2,24,50
2,25,50
2,26,50
2,27,50
2,28,50
2,29,50
2,3,50
2,30,50
2,31,50
2,32,50
2,33,50
2,34,50
2,35,50
2,36,50
2,37,50
2,38,50
2,39,50
2,4,50
2,40,50
2,41,50
2,42,50
2,43,50
2,44,50
2,45,50
2,46,50
2,47,50
2,48,50
2,49,50
2,5,50
2,50,50
2,51,50
2,52,50
2,53,50
2,54,50
2,55,50
2,56,50
2,57,50
2,58,50
2,59,50
2,6,50
2,60,50
2,61,50
2,62,50
2,63,50
2,64,50
2,65,50
2,66,50
2,67,50
2,68,50
2,69,50
2,7,50
2,70,50
2,71,50
2,72,50
2,73,50
2,74,50
2,75,50
2,76,50
2,77,50
2,78,50
2,79,50
2,8,50
2,80,50
2,81,50
2,82,50
2,83,50
2,84,50
2,85,50
2,86,50
2,87,50
2,88,50
2,89,50
2,9,50
2,90,50
2,91,50
2,92,50
2,93,50
2,94,50
2,95,50
2,96,50
2,97,50
2,98,50
2,99,50
3,0,50
3,1,50
3,10,50
3,11,50
3,12,50
3,13,50
3,14,50
3,15,50
3,16,50
3,17,50
3,18,50
3,19,50
3,2,50
3,20,50
3,21,50
3,22,50
3,23,50
3,24,50
3,25,50
3,26,50
3,27,50
3,28,50
3,29,50
3,3,50
3,30,50
3,31,50
3,32,50
3,33,50
3,34,50
3,35,50
3,36,50
3,37,50
3,38,50
3,39,50
3,4,50
3,40,50
3,41,50
3,42,50
3,43,50
3,44,50
3,45,50
3,46,50
3,47,50
3,48,50
3,49,50
3,5,50
3,50,50
3,51,50
3,52,50
3,53,50
3,54,50
3,55,50
3,56,50
3,57,50
3,58,50
3,59,50
3,6,50
3,60,50
3,61,50
3,62,50
3,63,50
3,64,50
3,65,50
3,66,50
3,67,50
3,68,50
3,69,50
3,7,50
3,70,50
3,71,50
3,72,50
3,73,50
3,74,50
3,75,50
3,76,50
3,77,50
3,78,50
3,79,50
3,8,50
3,80,50
3,81,50
3,82,50
3,83,50
3,84,50
3,85,50
3,86,50
3,87,50
3,88,50
3,89,50
3,9,50
3,90,50
3,91,50
3,92,50
3,93,50
3,94,50
3,95,50
3,96,50
3,97,50
3,98,50
3,99,50
4,0,50
4,1,50
4,10,50
4,11,50
4,12,50
4,13,50
4,14,50
4,15,50
4,16,50
4,17,50
4,18,50
4,19,50
4,2,50
4,20,50
4,21,50
4,22,50
4,23,50
4,24,50
4,25,50
4,26,50
4,27,50
4,28,50
4,29,50
4,3,50
4,30,50
4,31,50
4,32,50
4,33,50
4,34,50
4,35,50
4,36,50
4,37,50
4,38,50
4,39,50
4,4,50
4,40,50
4,41,50
4,42,50
4,43,50
4,44,50
4,45,50
4,46,50
4,47,50
4,48,50
4,49,50
4,5,50
4,50,50
4,51,50
4,52,50
4,53,50
4,54,50
4,55,50
4,56,50
4,57,50
4,58,50
4,59,50
4,6,50
4,60,50
4,61,50
4,62,50
4,63,50
4,64,50
4,65,50
4,66,50
4,67,50
4,68,50
4,69,50
4,7,50
4,70,50
4,71,50
4,72,50
4,73,50
4,74,50
4,75,50
4,76,50
4,77,50
4,78,50
4,79,50
4,8,50
4,80,50
4,81,50
4,82,50
4,83,50
4,84,50
4,85,50
4,86,50
4,87,50
4,88,50
4,89,50
4,9,50
4,90,50
4,91,50
4,92,50
4,93,50
4,94,50
4,95,50
4,96,50
4,97,50
4,98,50
4,99,50
5,0,50
5,1,50
5,10,50
5,11,50
5,12,50
5,13,50
5,14,50
5,15,50
5,16,50
5,17,50
5,18,50
5,19,50
5,2,50
5,20,50
5,21,50
5,22,50
5,23,50
5,24,50
5,25,50
5,26,50
5,27,50
5,28,50
5,29,50
5,3,50
5,30,50
5,31,50
5,32,50
5,33,50
5,34,50
5,35,50
5,36,50
5,37,50
5,38,50
5,39,50
5,4,50
5,40,50
5,41,50
5,42,50
5,43,50
5,44,50
5,45,50
5,46,50
5,47,50
5,48,50
5,49,50
5,5,50
5,50,50
5,51,50
5,52,50
5,53,50
5,54,50
5,55,50
5,56,50
5,57,50
5,58,50
5,59,50
5,6,50
5,60,50
5,61,50
5,62,50
5,63,50
5,64,50
5,65,50
5,66,50
5,67,50
5,68,50
5,69,50
5,7,50
5,70,50
5,71,50
5,72,50
5,73,50
5,74,50
5,75,50
5,76,50
5,77,50
5,78,50
5,79,50
5,8,50
5,80,50
5,81,50
5,82,50
5,83,50
5,84,50
5,85,50
5,86,50
5,87,50
5,88,50
5,89,50
5,9,50
5,90,50
5,91,50
5,92,50
5,93,50
5,94,50
5,95,50
5,96,50
5,97,50
5,98,50
5,99,50
6,0,50
6,1,50
6,10,50
6,11,50
6,12,50
6,13,50
6,14,50
6,15,50
6,16,50
6,17,50
6,18,50
6,19,50
6,2,50
6,20,50
6,21,50
6,22,50
6,23,50
6,24,50
6,25,50
6,26,50
6,27,50
6,28,50
6,29,50
6,3,50
6,30,50
6,31,50
6,32,50
6,33,50
6,34,50
6,35,50
6,36,50
6,37,50
6,38,50
6,39,50
6,4,50
6,40,50
6,41,50
6,42,50
6,43,50
6,44,50
6,45,50
6,46,50
6,47,50
6,48,50
6,49,50
6,5,50
6,50,50
6,51,50
6,52,50
6,53,50
6,54,50
6,55,50
6,56,50
6,57,50
6,58,50
6,59,50
6,6,50
6,60,50
6,61,50
6,62,50
6,63,50
6,64,50
6,65,50
6,66,50
6,67,50
6,68,50
6,69,50
6,7,50
6,70,50
6,71,50
6,72,50
6,73,50
6,74,50
6,75,50
6,76,50
6,77,50
6,78,50
6,79,50
6,8,50
6,80,50
6,81,50
6,82,50
6,83,50
6,84,50
6,85,50
6,86,50
6,87,50
6,88,50
6,89,50
6,9,50
6,90,50
6,91,50
6,92,50
6,93,50
6,94,50
6,95,50
6,96,50
6,97,50
6,98,50
6,99,50
7,0,50
7,1,50
7,10,50
7,11,50
7,12,50
7,13,50
7,14,50
7,15,50
7,16,50
7,17,50
7,18,50
7,19,50
7,2,50
7,20,50
7,21,50
7,22,50
7,23,50
7,24,50
7,25,50
7,26,50
7,27,50
7,28,50
7,29,50
7,3,50
7,30,50
7,31,50
7,32,50
7,33,50
7,34,50
7,35,50
7,36,50
7,37,50
7,38,50
7,39,50
7,4,50
7,40,50
7,41,50
7,42,50
7,43,50
7,44,50
7,45,50
7,46,50
7,47,50
7,48,50
7,49,50
7,5,50
7,50,50
7,51,50
7,52,50
7,53,50
7,54,50
7,55,50
7,56,50
7,57,50
7,58,50
7,59,50
7,6,50
7,60,50
7,61,50
7,62,50
7,63,50
7,64,50
7,65,50
7,66,50
7,67,50
7,68,50
7,69,50
7,7,50
7,70,50
7,71,50
7,72,50
7,73,50
7,74,50
7,75,50
7,76,50
7,77,50
7,78,50
7,79,50
7,8,50
7,80,50
7,81,50
7,82,50
7,83,50
7,84,50
7,85,50
7,86,50
7,87,50
7,88,50
7,89,50
7,9,50
7,90,50
7,91,50
7,92,50
7,93,50
7,94,50
7,95,50
7,96,50
7,97,50
7,98,50
7,99,50
8,0,50
8,1,50
8,10,50
8,11,50
8,12,50
8,13,50
8,14,50
8,15,50
8,16,50
8,17,50
8,18,50
8,19,50
8,2,50
8,20,50
8,21,50
8,22,50
8,23,50
8,24,50
8,25,50
8,26,50
8,27,50
8,28,50
8,29,50
8,3,50
8,30,50
8,31,50
8,32,50
8,33,50
8,34,50
8,35,50
8,36,50
8,37,50
8,38,50
8,39,50
8,4,50
8,40,50
8,41,50
8,42,50
8,43,50
8,44,50
8,45,50
8,46,50
8,47,50
8,48,50
8,49,50
8,5,50
8,50,50
8,51,50
8,52,50
8,53,50
8,54,50
8,55,50
8,56,50
8,57,50
8,58,50
8,59,50
8,6,50
8,60,50
8,61,50
8,62,50
8,63,50
8,64,50
8,65,50
8,66,50
8,67,50
8,68,50
8,69,50
8,7,50
8,70,50
8,71,50
8,72,50
8,73,50
8,74,50
8,75,50
8,76,50
8,77,50
8,78,50
8,79,50
8,8,50
8,80,50
8,81,50
8,82,50
8,83,50
8,84,50
8,85,50
8,86,50
8,87,50
8,88,50
8,89,50
8,9,50
8,90,50
8,91,50
8,92,50
8,93,50
8,94,50
8,95,50
8,96,50
8,97,50
8,98,50
8,99,50
9,0,50
9,1,50
9,10,50
9,11,50
9,12,50
9,13,50
9,14,50
9,15,50
9,16,50
9,17,50
9,18,50
9,19,50
9,2,50
9,20,50
9,21,50
9,22,50
9,23,50
9,24,50
9,25,50
9,26,50
9,27,50
9,28,50
9,29,50
9,3,50
9,30,50
9,31,50
9,32,50
9,33,50
9,34,50
9,35,50
9,36,50
9,37,50
9,38,50
9,39,50
9,4,50
9,40,50
9,41,50
9,42,50
9,43,50
9,44,50
9,45,50
9,46,50
9,47,50
9,48,50
9,49,50
9,5,50
9,50,50
9,51,50
9,52,50
9,53,50
9,54,50
9,55,50
9,56,50
9,57,50
9,58,50
9,59,50
9,6,50
9,60,50
9,61,50
9,62,50
9,63,50
9,64,50
9,65,50
9,66,50
9,67,50
9,68,50
9,69,50
9,7,50
9,70,50
9,71,50
9,72,50
9,73,50
9,74,50
9,75,50
9,76,50
9,77,50
9,78,50
9,79,50
9,8,50
9,80,50
9,81,50
9,82,50
9,83,50
9,84,50
9,85,50
9,86,50
9,87,50
9,88,50
9,89,50
9,9,50
9,90,50
9,91,50
9,92,50
9,93,50
9,94,50
9,95,50
9,96,50
9,97,50
9,98,50
9,99,50
holdout,0,100
holdout,1,100
holdout,10,100
holdout,11,100
holdout,12,100
holdout,13,100
holdout,14,100
holdout,15,100
holdout,16,100
holdout,17,100
holdout,18,100
holdout,19,100
holdout,2,100
holdout,20,100
holdout,21,100
holdout,22,100
holdout,23,100
holdout,24,100
holdout,25,100
holdout,26,100
